module,scope_tier,automated_code_exists,active_regression,latest_execution_evidence,high_priority_member_scope,csr_management_greenscreen_scope,status,action,confidence,evidence
Enrollment,High-priority member portal,Yes,Yes — daily module 1,Jenkins nightly referenced (docs); not live-verified 2026-07-21,Yes,No,Active regression referenced,"Confirm Jenkins job health and qTest linkage refresh",Medium,stage1-enrollments.xml; v2/00-v2-regression-overview.md
Legacy Web Registration,High-priority member portal,Yes,Yes — daily module 2,Jenkins nightly referenced,Yes,No,Active regression referenced,Confirm live schedule,Medium,stage1-web-registration.xml
Legacy Web Login,High-priority member portal,Yes,Yes — daily module 3,Jenkins nightly referenced,Yes,No,Active regression referenced,Confirm live schedule,Medium,stage1-web-login.xml
Account Balance / Overview,High-priority member portal,Yes,Yes — daily module 7,Jenkins nightly referenced,Yes,No,Active regression referenced,Confirm live schedule,Medium,stage1-acct-overview.xml
Contributions,High-priority member portal,Yes,Yes — daily module 5,Jenkins nightly referenced,Yes,Partial CSR overlap,Active regression referenced,Longest module (~9h) — monitor stability,Medium,stage1-contributions.xml
Withdrawals,High-priority member portal,Yes,Yes — daily module 6,Jenkins nightly referenced,Yes,Partial CSR overlap,Active regression referenced,Confirm live schedule,Medium,stage1-withdrawals.xml
Transfers,High-priority member portal,Yes,Partial — within withdrawal/adjacent suites,Not isolated in 10 daily list,Yes,No,Assets exist — suite placement varies,Map transfer scenarios to governed nightly,Low,UP ledger adjacent 12 V2 methods
UGift,High-priority member portal,Yes,Partial — plan-specific features,Not in 10 daily module list,Yes,CSR UGift features exist,Assets exist — reactivation needed,"Include high-priority UGift in governed regression inventory",Medium,unite/testsuite/*/ugift/
Investment Options,High-priority member portal,Yes,Yes — daily module 9,Jenkins nightly referenced,Yes,No,Active regression referenced,Newer module — confirm timing data,Medium,stage1-investment-options.xml
Profile / Account Maintenance,High-priority member portal,Yes,Partial — member + CSR paths,CSR module 4 active,Yes,Yes CSR,Split member vs CSR paths,Clarify member self-service vs CSR nightly scope,Medium,stage1-csr-acct-maintenance.xml; member profile features
Sardine / Fraud enrollment,High-priority member portal,Yes,Yes — daily module 8,Jenkins nightly referenced,Yes,No,Active regression referenced,Confirm live schedule,Medium,stage1-sardine-regression.xml
Empower Plan,High-priority member portal,Yes,Yes — daily module 10,Jenkins nightly referenced,Yes,No,Active regression referenced,Newer module — confirm timing,Medium,stage1-empower-plan.xml
CSR Account Maintenance,CSR / management,Yes,Yes — daily module 4,Jenkins nightly referenced,Partial,Yes,Active for CSR path,Keep in nightly; traceability to qTest,Medium,stage1-csr-acct-maintenance.xml
CSR Actions,CSR / management,Yes,No — not in 10 daily modules,Stale / manual,No,Yes,Assets exist — not active nightly,"Revalidate sync and add to governed suite",Medium,unite/testsuite/frontoffice/csr/
CSR Green screens,CSR / management,Yes,No — not in 10 daily modules,Stale / manual,No,Yes,Assets exist — not active nightly,"Revalidation and nightly inclusion decision",Medium,unite/testsuite/csr-greenscreen/
Management screens,CSR / management,Yes,No — deferred,Unknown,No,Yes,Assets exist — deferred,"Inventory and prioritize for reactivation",Low,unite/testsuite/ management paths
Case-related screens,CSR / management,Yes,No — deferred,Unknown,No,Yes,Assets exist — deferred,SME scope review,Low,Provisional
Backoffice / Batch feeds,Lower-priority operational,Yes,Weekly backoffice (docs Tue/Wed),Referenced not live-verified,No,Yes operational,Implemented — schedule confirmation needed,"Confirm weekly Jenkins backoffice jobs; Kofax/feed mapping",Medium,regression-backoffice-daily; 1062 backoffice features
Plan-specific specialty,Lower-priority operational,Yes,Specialty suites (Flywire SSgA ACH),On demand,Partial,Partial,Assets exist — targeted execution,Maintain specialty catalog,Low,v2 overview other suites
Smoke / Release gates,Cross-cutting,Yes,Smoke + release suite families,Stage5/CAT referenced,Yes,Partial,Active for promotion paths,Align with Modern Unite smoke strategy,Medium,stage5 smoke XMLs
