endpoint_id,http_method,path,feature_area,test_class,test_method,suite_profiles,branding_support,legacy_source,migration_status,validation_layers,module_regression,smoke_suite,notes
mobile1,M1-01,POST,/mobile1api/v1/mobilemembersession,Authentication,Mobile1AuthenticationTest,getValidMemberSession,integration+regression,"okdirect,nmdirect",Legacy: unite-mobile1 session POST; Postman: Mobile1 Member Session,migrated,L1-L4 lean,Y,N,"Auth foundation — 3 test legs (OKD session, OKD username, NMD session)"
mobile1,M1-02,GET,/mobile1api/v1/mobilememberusername,Authentication,MobileMemberUsernameGetRequestTest,getMobileMemberUsername_returnsUsername,auth-regression,okdirect,Password-change prerequisite; Postman MSC,migrated,L1-L4,Y,N,Runs in mobile1-auth-regression
mobile1,M1-03,GET,/mobile1api/v1/mobileowner,Profile,MobileOwnerRequestTest,getMobileOwner_returnsOwner,profileowner-*,"okdirect,nmdirect",Legacy profile GET; Postman mobileowner,migrated,L1-L4 POJO,Y,N,
mobile1,M1-04,GET,/mobile1api/v1/mobileOwnerMenu,Profile,MobileOwnerMenuRequestTest,getMobileOwnerMenu_returnsOwnerMenu,profileowner-*,"okdirect,nmdirect",Legacy owner menu,migrated,L1-L4,Y,N,
mobile1,M1-05,GET,/mobile1api/v1/mobileprofilemenu,Profile,MobileProfileMenuRequestTest,getMobileProfileMenu_returnsProfileMenu,profileowner-*,"okdirect,nmdirect",Legacy profile menu,migrated,L1-L4,Y,N,
mobile1,M1-06,PUT,/mobile1api/v1/mobileowner,Profile,MobileOwnerPutRequestTest,putMobileOwner_updatesOwnerProfile_returnsOk,mobile1-smoke,okdirect,Mutating owner update — smoke only,migrated,L1-L4,N,Y,Destructive — smoke suite
mobile1,M1-07,GET,/mobile1api/v1/mobilebeneficiaryByExt/{ext},Beneficiary,MobileBeneficiaryByExtRequestTest,getMobileBeneficiaryByExt_returnsBeneficiary,beneficiary-*,okdirect,Legacy beneficiary lookup,migrated,L1-L4,Y,N,OKD only in suites
mobile1,M1-08,POST,/mobile1api/v1/mobilecloseaccount/{ext},Beneficiary,MobileCloseAccountPostRequestTest,postMobileCloseAccount_preClosureCheck,beneficiary-regression,okdirect,Pre-closure eligibility check,migrated,L1-L4,Y,N,preClosureCheck=true
mobile1,M1-09,POST,/mobile1api/v1/mobilecloseaccount/{ext},Beneficiary,MobileActualCloseAccountPostRequestTest,postMobileActualCloseAccount_closesAccount,mobile1-smoke,nmdirect,Actual account close — destructive,migrated,L1-L4,N,Y,Smoke — NMD only
mobile1,M1-10,GET,/mobile1api/v1/mobilebankinfobyroutingnum/{routingNum},Bank Info,MobileBankInfoByRoutingNumRequestTest,getMobileBankInfoByRoutingNum_returnsBankInfo,bankinfo-*,okdirect,Aligned with Mobile2 banks routing 011000138,migrated,L1-L4,Y,N,
mobile1,M1-11,POST,/mobile1api/v1/mobilememberbiometric,Biometric,MobileMemberBiometricPostRequestTest,postMobileMemberBiometric_enrollsToken,memberbiometric-*,okdirect,Legacy biometric enroll,migrated,L1-L4,Y,N,
mobile1,M1-12,GET,/mobile1api/v1/mobilememberbiometric,Biometric,MobileMemberBiometricGetRequestTest,getMobileMemberBiometric_returnsBiometricToken,memberbiometric-*,okdirect,GET after POST enroll,migrated,L1-L4,Y,N,
mobile1,M1-13,DELETE,/mobile1api/v1/mobilememberbiometric,Biometric,MobileMemberBiometricDeleteRequestTest,deleteMobileMemberBiometric_removesBiometricToken,mobile1-smoke,okdirect,Destructive cleanup,migrated,L1-L4,N,Y,Smoke only
mobile1,M1-14,POST,/mobile1api/v1/requestPhoneNumberAuthentication,Phone Auth,MobileRequestPhoneNumberAuthenticationPostRequestTest,postRequestPhoneNumberAuthentication_returnsOwnerPhoneDetails,phoneauthentication-*,okdirect,Postman: requestPhoneNumberAuthentication,migrated,L1-L4,Y,N,May trigger SMS outside QC4
mobile1,M1-15,POST,/mobile1api/v1/mobilememberdevices,Device,MobileMemberDeviceRequestTest,postMobileMemberDevice_registersDevice,memberdevice-*,okdirect,Device registration — no body,migrated,L1-L4,Y,N,5 tests in class
mobile1,M1-16,POST,/mobile1api/v1/mobilememberpushnotificationtokens,Device,MobileMemberDeviceRequestTest,postMobileMemberPushNotificationToken_registersToken,memberdevice-*,okdirect,Push token POST,migrated,L1-L4,Y,N,
mobile1,M1-17,PUT,/mobile1api/v1/mobilememberpushnotificationtokens,Device,MobileMemberDeviceRequestTest,putMobileMemberPushNotificationToken_updatesToken,memberdevice-*,okdirect,Push token PUT,migrated,L1-L4,Y,N,
mobile1,M1-18,GET,/mobile1api/v1/mobilememberpushnotificationtokens/deviceuuid/{deviceUuid},Device,MobileMemberDeviceRequestTest,getMobileMemberPushNotificationToken_returnsRegisteredToken,memberdevice-*,okdirect,Push token GET by device UUID,migrated,L1-L4,Y,N,
mobile1,M1-19,GET,/mobile1api/v1/mobilememberdevices,Device,MobileMemberDeviceRequestTest,getMobileMemberDevice_returnsRegisteredDevice,memberdevice-*,okdirect,Device GET after POST,migrated,L1-L4,Y,N,
mobile1,M1-20,PATCH,/mobile1api/v1/mobilemembers,Password,MobileChangePasswordRequestTest,patchMobileMembers_changesPasswordAndRelogin,mobile1-smoke,okdirect,Password rotation + re-login,migrated,L1-L4,N,Y,Uses JSON user id 2
mobile1,M1-21,POST,/mobile1api/v1/mobilecsrasmembersession,CSR,MobileCsrAsMemberSessionRequestTest,postMobileCsrAsMemberSession_returnsSession,csrasmember-*,okdirect,Public endpoint; optional CSR JWT header,migrated,L1-L4,Y,N,INVALID_CREDENTIALS without real token
mobile1,M1-22,POST,/mobile1api/v1/idptokenexchange,IDP,MobileIdpTokenExchangeRequestTest,postIdpTokenExchange_returnsAccessToken,memberidptoken-*,nmdirect,PKCE → IDP token exchange,migrated,L1-L4,Y,N,NMD IDP branding
mobile1,M1-23,POST,/mobile1api/v1/mobilememberidptoken,IDP,MobileMemberIdpTokenRequestTest,postMobileMemberIdpToken_returnsMemberSession,memberidptoken-*,nmdirect,IDP JWT → member session,migrated,L1-L4,Y,N,QC4 often 401 on automation JWT
mobile1,M1-24,GET,/mobile1api/v1/mobilemembersession/{id},Session,MobileMemberSessionByIdRequestTest,getMobileMemberSessionById_returnsSession,membersession-smoke,okdirect,Session GET by id from login,migrated,L1-L4,N,Y,Smoke — SQL user 1
mobile1,M1-25,POST,/mobile1api/v1/mobilemembersession/validateBiometricToken,Session,MobileMemberSessionValidateBiometricTokenRequestTest,postValidateBiometricToken_returnsMemberSession,membersession-smoke,okdirect,Biometric validate flow,migrated,L1-L4,N,Y,Functional group
mobile1,M1-26,POST,/mobile1api/v1/mobilemembersessionpin,Session,MobileMemberSessionPinRequestTest,postMobileMemberSessionPin_returnsSessionPin,membersessionpin-*,okdirect,1-factor member JWT; POST only,migrated,L1-L4,Y,N,No GET in legacy API
mobile2,M2-01,GET,/mobile2api/v1/mobileactivity/{ext},Activity,MobileActivityRequestTest,getMobileActivity_returnsActivitySummary,activity-*,"okdirect,newyork",Cucumber mobileactivity feature,migrated-simplified,L1-L4 lean,Y,N,Master regression
