Issue Type,Summary,Description,Acceptance Criteria,Priority,Labels,Component,Story Points,Epic Link
Epic,Mobile Microservices Automation Discovery and Planning,"Discover legacy assets, analyze target API Automation Framework, design mobile-automation structure, resolve DEC-1/DEC-2.","Target design approved; RAID decisions closed; repo map documented.",Highest,"mobile-automation, unite-msc, api-automation",Framework,21,MOB-AUTO-E1
Epic,Unite Enrollment Automation Migration,"Pilot module: inventory, vertical slice, smoke/regression suites, QC4/Stage1 stabilization.","Enrollment smoke+regression green; exclusions documented; tracker M4-M5 complete.",Highest,"mobile-automation, unite-msc, cucumber, rest-assured",unite-enrollment,34,MOB-AUTO-E2
Epic,Unite Mobile 1 Automation Migration,"Repeat migration pattern including encryption handling.","Mobile1 smoke+regression green; tracker complete.",High,"mobile-automation, unite-msc, cucumber, rest-assured",unite-mobile1,21,MOB-AUTO-E3
Epic,Unite Mobile 2 Automation Migration,"BFF module: smoke-critical paths, pipeline pilot, full regression.","Mobile2 smoke+regression green; critical-path coverage documented.",High,"mobile-automation, unite-msc, cucumber, rest-assured",unite-mobile2,34,MOB-AUTO-E4
Epic,Regression Suite and Pipeline Integration,"Validate Maven commands; QC4 PR gate; Stage1 verification; reporting; quarantine policy.","M6 pipeline green; reports published; env-health policy live.",High,"mobile-automation, unite-msc, api-automation, regression",Pipeline,21,MOB-AUTO-E5
Epic,"Documentation, Reporting, and Handoff","Publish Confluence hub, runbook, weekly status, program sign-off.","M7 handoff complete; sign-off checklist reviewed.",Medium,"mobile-automation, unite-msc",Documentation,13,MOB-AUTO-E6
Spike,Analyze target API Automation Framework structure,"Review json-api, universal/, jsonapi-parent, properties, reporting, DB loader. Document reuse vs extend.","Reuse matrix published; gaps listed; target repo URL documented.",Highest,"mobile-automation, api-automation",Framework,5,MOB-AUTO-E1
Story,Design mobile-automation folder and package structure,"Approved design for unite-enrollment, unite-mobile1, unite-mobile2 modules.","Design approved; architecture page updated; naming conventions documented.",Highest,"mobile-automation, api-automation, cucumber",Framework,5,MOB-AUTO-E1
Task,Document migration decision matrix and migration rules,"Publish matrix and train team on migrate/update/consolidate/parameterize/exclude/park.","Migration strategy page current; team walkthrough done.",High,"mobile-automation, unite-msc",Framework,2,MOB-AUTO-E1
Spike,Resolve pilot order and architecture track (DEC-1 DEC-2),"Decide Enrollment-first vs Mobile2-first; Cucumber migration vs Path B TestNG.","DEC-1 and DEC-2 closed in RAID with owners and dates.",Highest,"mobile-automation, unite-msc",Governance,3,MOB-AUTO-E1
Task,Obtain UniteMSC source repo access and document repo map,"Read access to ascensus-gs/products/unitemsc; document service test paths.","Access verified; repo map in technical reference.",Highest,"mobile-automation, unite-msc",Discovery,1,MOB-AUTO-E1
Spike,Evaluate Playwright/Karate only if framework blocker proven,"Only if Java/Cucumber/Rest Assured blocker proven; else cancel spike.","Outcome documented: stay on stack OR approved alternative.",Lowest,"mobile-automation, api-automation",Framework,2,MOB-AUTO-E1
Story,Discover legacy Unite Enrollment automation assets,"Catalog features, steps, configs, SQL, test data in source repo (read-only).","Enrollment tracker inventory populated; top risks listed.",Highest,"mobile-automation, unite-msc, cucumber, api-automation",unite-enrollment,5,MOB-AUTO-E2
Story,Map Enrollment feature files to step definitions,"Feature-to-step matrix; orphans and consolidation candidates identified.","100% scenarios mapped; consolidation list reviewed.",High,"mobile-automation, unite-msc, cucumber",unite-enrollment,5,MOB-AUTO-E2
Story,"Map Enrollment endpoints, payloads, validations, SQL, and configs","Endpoint catalog for migration candidates; config gap list for IDP/UP.","Catalog complete; SQL categorized; config gaps in RAID if blocking.",High,"mobile-automation, unite-msc, rest-assured, api-automation",unite-enrollment,8,MOB-AUTO-E2
