Issue Type,Summary,Description,Acceptance Criteria,Priority,Labels,Component,Story Points,Epic Link,Assignee
Story,[UNITE-MSC][Enhancement] Dynamic user and SQL-backed account selection framework,Reusable dynamic user and SQL account selection across Enrollment Mobile1 Mobile2 for DB-refresh resilience.,Pattern documented; QC4 proof on Mobile2 and Enrollment; DB-refresh checklist updated,High,"unite-msc, mobile-automation, enhancement",Cross-cutting,5,QA-796,Swapnil Patil
Story,[UNITE-MSC][Enhancement] DB-refresh resilience checklist and post-refresh smoke validation,SharePoint checklist and post-refresh smoke commands per module.,Checklist published; post-refresh smoke list; linked from onboarding,High,"unite-msc, enhancement",Cross-cutting,3,QA-796,Swapnil Patil
Story,[UNITE-MSC][Enhancement] OTP MFA and IDP vs non-IDP plan coverage strategy,Matrix and implementation for IDP and non-IDP plan auth in automation.,Plan matrix; IDP and non-IDP in smoke; Dev sign-off on MFA policy,Medium,"unite-msc, enhancement",Cross-cutting,5,QA-796,Swapnil Patil
Story,[UNITE-MSC][Mobile2] Activities discovery spike and legacy coverage matrix,Discovery and legacy matrix for Mobile2 Activities with Postman evidence.,Matrix complete; Dev sign-off; Postman comparison for happy path,High,"unite-msc, mobile2",unite-mobile2,3,QA-796,Venkatesh
Story,[UNITE-MSC][Mobile2] Activities integration vertical slice QC4 gate,Integration-tagged Activities scenario on QC4 with Extent report.,Integration passes QC4; report generated; MR merged,High,"unite-msc, mobile2, integration",unite-mobile2,5,QA-796,Venkatesh
Story,[UNITE-MSC][Mobile2] Activities regression suite cleanup Stage1 portability,Regression suite dynamic cleanup Stage1 proof for Activities.,Regression command documented; cleanup doc; Stage1 proof or RAID,Medium,"unite-msc, mobile2, regression",unite-mobile2,5,QA-796,Venkatesh
Story,[UNITE-MSC][Mobile2] Content discovery spike and legacy coverage matrix,Discovery and legacy matrix for Mobile2 Content.,Same as Activities discovery AC,High,"unite-msc, mobile2",unite-mobile2,3,QA-796,Dinesh
Story,[UNITE-MSC][Mobile2] Content integration vertical slice QC4 gate,Integration vertical slice for Content on QC4.,Integration passes QC4; Extent report; MR merged,High,"unite-msc, mobile2, integration",unite-mobile2,5,QA-796,Dinesh
Story,[UNITE-MSC][Mobile2] Banks discovery spike and legacy coverage matrix,Discovery for Mobile2 Banks GET endpoints.,Matrix complete; Dev sign-off,High,"unite-msc, mobile2",unite-mobile2,3,QA-796,Sunil
Story,[UNITE-MSC][Mobile2] Banks integration vertical slice GET baseline QC4,Banks GET integration slice on QC4.,GET happy path green; Postman parity; report in Jira,High,"unite-msc, mobile2, integration",unite-mobile2,5,QA-796,Sunil
Story,[UNITE-MSC][Mobile2] Balance Trends discovery and integration vertical slice,Discovery Postman comparison integration slice Balance Trends.,Integration QC4 green,Medium,"unite-msc, mobile2",unite-mobile2,5,QA-796,TBD
Story,[UNITE-MSC][Mobile2] Contributions discovery and integration vertical slice,Discovery Postman comparison integration slice Contributions.,Integration QC4 green,Medium,"unite-msc, mobile2",unite-mobile2,5,QA-796,TBD
Story,[UNITE-MSC][Mobile2] Mobile Ugift discovery and integration vertical slice,Discovery Postman comparison integration slice Mobile Ugift.,Integration QC4 green,Medium,"unite-msc, mobile2",unite-mobile2,5,QA-796,TBD
Story,[UNITE-MSC][Mobile2] Mobile Stackup discovery and integration vertical slice,Discovery Postman comparison integration slice Mobile Stackup.,Integration QC4 green,Medium,"unite-msc, mobile2",unite-mobile2,5,QA-796,TBD
Story,[UNITE-MSC][Mobile2] Transaction History discovery and integration vertical slice,Discovery Postman comparison integration slice Transaction History.,Integration QC4 green,Medium,"unite-msc, mobile2",unite-mobile2,5,QA-796,TBD
Story,[UNITE-MSC][Mobile2] Plan Selection discovery and integration vertical slice,Discovery Postman comparison integration slice Plan Selection.,Integration QC4 green,Medium,"unite-msc, mobile2",unite-mobile2,5,QA-796,TBD
Story,[UNITE-MSC][Mobile2] Investment discovery and integration vertical slice,Discovery Postman comparison integration slice Investment.,Integration QC4 green,Medium,"unite-msc, mobile2",unite-mobile2,5,QA-796,TBD
Story,[UNITE-MSC][Mobile2] YTD Summary discovery and integration vertical slice,Discovery Postman comparison integration slice YTD Summary.,Integration QC4 green,Medium,"unite-msc, mobile2",unite-mobile2,5,QA-796,TBD
Story,[UNITE-MSC][Mobile2] E2E cross-endpoint integration smoke,E2E smoke across Dashboard and critical Mobile2 paths.,E2E scenario QC4 green; depends on 3+ areas,Medium,"unite-msc, mobile2, integration",unite-mobile2,8,QA-796,Swapnil Patil
Story,[UNITE-MSC][Mobile2][Enhancement] Expand Dashboard coverage multiple plans environments,Extend QA-987 Dashboard slice — NOT duplicate QA-1053.,Additional plans QC4 Stage1; linked to integration profile,Medium,"unite-msc, mobile2, enhancement",unite-mobile2,5,QA-796,Swapnil Patil
Story,[UNITE-MSC][Mobile1] Discovery spike Postman legacy evidence Owners endpoint,Mobile1 discovery with Owners must-cover; no invented endpoints.,Evidence table Dev sign-off; Owners marked must-cover,High,"unite-msc, mobile1",unite-mobile1,5,QA-796,TBD
Story,[UNITE-MSC][Mobile1] Owners endpoint integration vertical slice QC4,Owners integration slice QC4.,Integration green QC4; MR merged,High,"unite-msc, mobile1, integration",unite-mobile1,5,QA-796,TBD
Story,[UNITE-MSC][Enrollment] Postman routing stabilization with Dev,Shared Postman QC4 Enrollment routing with Dev.,Workspace validated; 3+ slice candidates; RAID blockers,Highest,"unite-msc, enrollment",unite-enrollment,3,QA-796,Venkatesh
Story,[UNITE-MSC][Enrollment] Encrypted-payload assessment read-oriented vertical slice,Encrypted payload assessment and read vertical slice QC4.,Assessment doc; read slice green QC4,High,"unite-msc, enrollment",unite-enrollment,5,QA-796,TBD
Story,[UNITE-MSC][Enrollment] Encrypted write-flow support externalized test data,Encrypted write flows with externalized test data.,Write flow green; no inline secrets; test-data externalized,High,"unite-msc, enrollment",unite-enrollment,8,QA-796,TBD
Story,[UNITE-MSC][Enrollment] Smoke and regression suites QC4 to Stage1 stabilization,Enrollment smoke regression QC4 Stage1 stabilization.,Smoke regression commands; Stage1 proof; exclusions logged,High,"unite-msc, enrollment, regression",unite-enrollment,8,QA-796,TBD
