qtest_test_case_id,test_name,source_module,plan_traunch,jenkins_target,repository_test,primary_workstream,secondary_tags,inclusion_classification,counting_unit,rationale,source_report,confidence,sme_confirmation_required,provisional_count
PROVISIONAL-MOD-01,Enrollments,enrollments,multiple,stage1-enrollments-regression,stage1-enrollments.xml,ACS-I-2679,,IN_SCOPE_ENROLLMENT,executed_test_cases,NextGen/Universal enrollment flows; includes some ABLE enrollment scenarios as secondary,Jenkins log + qTest PRIME,High,No,151
PROVISIONAL-MOD-02,Web Login,web-login,multiple,stage1-web-login-regression,stage1-web-login.xml,ACS-I-2680,,IN_SCOPE_IDP,executed_test_cases,ACS-I-2680 auth-server member login flows,Jenkins log,High,No,27
PROVISIONAL-MOD-03,Withdrawals,withdrawals,multiple,stage1-withdrawals-regression,stage1-withdrawals.xml,ACS-I-2690,,IN_SCOPE_WITHDRAWAL,executed_test_cases,Member/CSR distributions per ACS-I-2690 withdrawal domain,Jenkins log,High,No,73
PROVISIONAL-MOD-04,LA ABLE dedicated suite,laable,multiple,stage1-laable-regression,stage1-laable.xml,ACS-I-2681,,IN_SCOPE_ABLE,executed_test_cases,"Dedicated CSR-Able suite; implemented, not in 10-target Jenkins extract",Suite XML + internal reconciliation,High,No,17
PROVISIONAL-MOD-05,Web Registration,web-registration,multiple,stage1-web-registration-regression,stage1-web-registration.xml,N/A,,ADJACENT_NOT_CONFIRMED,executed_test_cases,Legacy web registration; ACS-I-2680 names auth-server only,Jenkins log + AHA gap,Medium,Yes,46
PROVISIONAL-MOD-06,CSR Account Maintenance,csr-acct-maintenance,multiple,stage1-csr-acct-maintenance-regression,stage1-csr-acct-maintenance.xml,N/A,,ADJACENT_NOT_CONFIRMED,executed_test_cases,Profile maintenance; not named in any of five Aha ideas,Jenkins log + AHA gap,Medium,Yes,81
PROVISIONAL-MOD-07,Contributions,contributions,multiple,stage1-contributions-regression,stage1-contributions.xml,N/A,,ADJACENT_NOT_CONFIRMED,executed_test_cases,529 contribution flows; Angular (2682) scope not confirmed for member UI,Jenkins log + AHA gap,Medium,Yes,48
PROVISIONAL-MOD-08,Transfers,transfers,multiple,stage1-transfers-regression,stage1-transfers.xml,N/A,,ADJACENT_NOT_CONFIRMED,executed_test_cases,Fund transfers; ACS-I-2690 names withdrawal only,Jenkins log + AHA gap,Medium,Yes,12
PROVISIONAL-MOD-09,UGift,ugift,multiple,stage1-ugift-regression,stage1-ugift.xml,N/A,,OUT_OF_SCOPE,executed_test_cases,Gifting product outside five Universal Platform workstreams,Jenkins log,High,No,36
PROVISIONAL-MOD-10,Investment Options,investment-options,multiple,stage1-investment-options-regression,stage1-investment-options.xml,N/A,,OUT_OF_SCOPE,executed_test_cases,Exchanges/fund-to-fund outside scoped workstreams,Jenkins log,High,No,24
PROVISIONAL-MOD-11,Account Balance,acct-overview,multiple,stage1-acct-overview-regression,stage1-acct-overview.xml,N/A,,OUT_OF_SCOPE,executed_test_cases,Account overview page validation; not in Aha scope,Jenkins log,High,No,10
PROVISIONAL-MOD-12,CSR Actions,csr-actions,multiple,stage1-csr-actions-regression,stage1-csr-actions.xml,N/A,,ADJACENT_NOT_CONFIRMED,executed_test_cases,CSR action flows; ABLE/Angular ownership unresolved,Suite inventory,Medium,Yes,9
PROVISIONAL-MOD-13,Empower Plan,empower-plan,multiple,stage1-empower-plan-regression,stage1-empower-plan.xml,N/A,,UNMAPPED_NEEDS_SME_CONFIRMATION,executed_test_cases,Empower plan module in PRIME cycle; workstream mapping not confirmed,Suite inventory,Low,Yes,21
PROVISIONAL-MOD-14,Sardine,sardine,multiple,stage1-sardine-regression,stage1-sardine-regression.xml,N/A,,OUT_OF_SCOPE,executed_test_cases,Sardine fraud module outside five workstreams,Suite inventory,Medium,No,10
PROVISIONAL-MOD-15,PRIME per-plan expansion,multi-plan,multiple,PRIME cycle expansion,multiple suite XMLs,N/A,,UNMAPPED_NEEDS_SME_CONFIRMATION,executed_test_cases,qTest 744 exceeds 10-module Jenkins subset; residual per-plan/param expansion not itemized in available reports,qTest daily report vs Jenkins subset,Low,Yes,179
