repository,platform,unit_tests_run_on_mr_pr,security_checks,code_coverage_generated,coverage_report_published,minimum_threshold_defined,coverage_regression_comparison,merge_blocked_on_coverage_failure,deployment_blocked_on_failure,authorized_bypass_available,bypass_evidence_audit_trail,current_status,evidence,owner,recommended_action
unite-mobile2,GitLab (UniteMSC template),Yes (service CI),SAST via shared template; Snyk org standard,Yes JaCoCo,CI report stage (template),Yes 90% instruction (POM jacoco-check),No branch-vs-main delta,No verified MR coverage gate,Service deploy pipeline (template),General MR approval bypass only,No coverage-specific waiver trail,Verified from repository code,unite-mobile2/pom.xml @ c9c2c28; .gitlab-ci.yml,Pilot coverage-delta gate Phase 1 informational
unite-mobile1,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum (POM),No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-mobile1/pom.xml @ bfb51aa,Align threshold after pilot learnings
unite-profile,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 90% instruction,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-profile/pom.xml,Phase 2 rollout candidate
unite-account,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 50% instruction,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-account/pom.xml,Phase 2 rollout
unite-auth,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-auth/pom.xml,Introduce threshold gradually
unite-bank,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-bank/pom.xml,Introduce threshold gradually
unite-transaction,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-transaction/pom.xml,Introduce threshold gradually
unite-metadata,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-metadata/pom.xml,Introduce threshold gradually
unite-security,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-security/pom.xml,Introduce threshold gradually
unite-financial,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Properties 80% but check uses 0%,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-financial/pom.xml,Reconcile POM properties vs jacoco-check
unite-enrollment,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-enrollment/pom.xml,Introduce threshold gradually
fees,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% via properties,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,fees/pom.xml,Introduce threshold gradually
