Summary,IssueType,Description,Priority,Reporter,Assignee,Labels,Story Points
[V2][Enrollment][PAG] GSP enrollment scenarios missing from regression,Story,Close gap: GSP Partner enrollment flows for traunch PAG not represented in V2 regression suite. Align with MAY 2026 QA Regression program (Prod May 15 2026 quarterly). Inventory prime-test-automation TestNG XML and enrollment features for PAG; add scenarios per SME matrix. KB refs: Platform-support-jira-export.csv PAG sub bene QA-513; MAY 2026 - QA Regression.pdf. Needs Validation exact feature paths.,High,Swapnil Patil,Swapnil Patil,"automation,v2,enrollment,pag,gsp,regression,qa-board-view,may-2026",
[V2][CSR][Prefill] Prefill Online Enrollment regression expand beyond NVU baseline,Story,Confluence test catalog: https://confluence.ascensus.com/display/GSSD/Prefill+Online+Enrollment+Test+Cases (Unite Regression Automation). Replicate or extend NVU plan 12-case set: CSR prefill error messages Participant Address Successor Beneficiary; positive flows UGMA UTMA CHECK Individual ROLLOVER AIP monthly UGMA UTMA ROLLOVER AIP no annual increase EBT PAYROLL AIP quarterly. Existing automation path: frontoffice/csr/prefillenroll PrefillEnrollmentPositive.feature per QA-470 narrative in Platform-support-jira-export.csv. Stage 1; tag regression dailyrun per team norm.,High,Swapnil Patil,Venkatesh Mallela,"automation,v2,csr,prefill,enrollment,regression,qa-board-view,may-2026",
[V2][CSR][UgiftAble] UgiftAble automation coverage per GSSD test cases,Story,Confluence: https://confluence.ascensus.com/display/GSSD/UgiftAble+Test+Cases. Build or extend V2 CSR automation for UgiftAble flows; map Confluence rows to TestNG scenarios; data and plan matrix Needs Validation. Related program links in MAY 2026 - QA Regression.pdf (GSSD).,Medium,Swapnil Patil,Venkatesh Mallela,"automation,v2,csr,ugift,able,regression,qa-board-view,may-2026",
[V2][CSR][Management] Account search quick search and tracking cookie automation,Story,Gap: CSR Account Search and Quick Search not in regression; Tracking Cookie flows not automated. SME walkthrough plus matrix tab to feature file. Ref MAY 2026 regression scope; Confluence CSR Account Maintenance and related GSSD pages as applicable. prime-test-automation paths Needs Validation.,Medium,Swapnil Patil,Venkatesh Mallela,"automation,v2,csr,management,search,regression,qa-board-view,may-2026",
[V2][CSR][Management] Advisor employer authorized individual automation,Story,Gaps: CSR Advisor Management; CSR Employer Management; Additional Authorized Individual; Authorized Individual. One Story to deliver matrix-driven automation or sized subtasks after spike. Align P and E plan updates where traunch-specific NYA NYB NYD data required.,Medium,Swapnil Patil,Venkatesh Mallela,"automation,v2,csr,management,advisor,employer,aai,regression,qa-board-view,may-2026",
[V2][CSR][Management] Withdrawal aggregation case ops restriction freeze holding exception,Story,Gaps: CSR Withdrawal Management; CSR Aggregation Management CSR Aggregation OFAC history; CSR Case Administration; CSR Case Management; CSR Restriction Freeze; Withdrawal Holding; Exception Check. Coverage matrix from SME; negative and approval paths; OFAC history navigation. Confluence MAY pack links CSR Withdrawal Transfers Exchanges where overlapping.,High,Swapnil Patil,Venkatesh Mallela,"automation,v2,csr,management,withdrawal,aggregation,ofac,case,regression,qa-board-view,may-2026",
[V2][CSR][Management] Email username password security Q and A automation,Story,Gap: CSR Email Username Password Security Q and A flows not in regression. Security-sensitive; use dedicated test accounts; no secrets in repo. Document env vault keys in Story comment only.,Medium,Swapnil Patil,Venkatesh Mallela,"automation,v2,csr,security,credentials,regression,qa-board-view,may-2026",
[V2][CSR][Fees] CSR fee transactions per GSSD test cases,Story,Confluence: https://confluence.ascensus.com/display/GSSD/CSR+fee+Test+Cases. Automate fee posting reversal inquiry scenarios per matrix; DB assertions where framework supports; Stage 1.,Medium,Swapnil Patil,Venkatesh Mallela,"automation,v2,csr,fees,regression,qa-board-view,may-2026",
[V2][Member][Flywire] CSR Flywire parity member-only withdrawal distribution automation,Story,Extend Flywire validation to member-as-actor CSR-context scenarios not yet covered. Precedent: IND distribution Flywire subtasks QA-279 to QA-286 in Platform-support-jira-export.csv INDMODDistribution.feature DB type Flywire currency summary. This Story: member-only CSR Flywire path Needs Validation feature names; same assertion patterns as IND where applicable.,Medium,Swapnil Patil,Swapnil Patil,"automation,v2,member,flywire,csr,withdrawal,regression,qa-board-view,may-2026",
[V2][P and E][NYA NYB NYD] Pricing and expense update regression automation refresh,Story,Refresh or add V2 regression for P and E updates affecting traunches NYA NYB NYD per MAY 2026 quarterly release. Exchange and annual exchange family already reference NYD NYB NYA COD in jira-export narratives; extend for P and E rule changes post-release. Plans NYA NYB NYD; advisor and direct splits per MAY PDF approach one plan each Direct Advisor Able where applicable.,High,Swapnil Patil,Venkatesh Mallela,"automation,v2,pricing,expense,nya,nyb,nyd,regression,qa-board-view,may-2026",
