business_area,sub_area,metric_label,numerator,denominator,counting_unit,percent_class,implementation_status,execution_status,scheduled_status,leadership_safe_wording,confidence,evidence_path,as_of_date,notes
Unite MSC,Mobile 2 API,Automatable business endpoints implemented,24,24,business API endpoints,Verified from current denominator and repository evidence,Complete for automatable scope,Stale master run 22/25 (2026-07-14); 2 endpoints added post-sign-off,Not scheduled — QA-1405 pending,"Mobile 2 automation is complete for the currently defined automatable business scope; destructive operations intentionally in smoke/module suites; recurring GitLab execution remains follow-up",High,mobile2-endpoint-current-state.csv @ cee0de9,2026-07-21,Excludes mobilemembers harness endpoint from automatable scope
Unite MSC,Mobile 2 API,Documented business endpoints (incl. harness),24,25,business API endpoints,Verified implementation estimate,24/25 implemented,Stale execution 88%,Not scheduled,"Near-complete for documented business scope; harness endpoint excluded from automation numerator by design",High,mobile2-endpoint-current-state.csv,2026-07-21,
Unite MSC,Mobile 1 API,Documented business endpoints,6,27,business API endpoints,Verified from current denominator and repository evidence,Partial — sprint expansion,1/27 execution-verified (session),Not scheduled,"Partial coverage with expansion in progress on owner profile beneficiary and bank routing",High,mobile1-endpoint-current-state.csv @ cee0de9,2026-07-21,
Unite MSC,Mobile Enrollment API,Bootstrap / pilot endpoints,1,TBD,business API endpoints,Unknown,Bootstrap smoke only,No execution evidence,Not scheduled,"Pilot framework in place; endpoint inventory and automation scope not yet enumerated",Medium,mobile/enrollment/ @ cee0de9,2026-07-21,Do not include in MSC combined %
Unite MSC,UniteMSC microservices,Service BDD features (aggregate),112,TBD,Cucumber features,Program estimate requiring reconciliation,Substantial service-level assets,Service CI only,Per-repo GitLab pipeline,"Service acceptance automation exists; not a substitute for BFF API regression",Medium,UniteMSC repos / unite-mobile2 features,2026-07-21,
Unite MSC,Application source code,JaCoCo on service repos,13,13,Java microservice repos,Verified from repository code,Generated in CI,Sonar disabled,Service build/test gate,"Application line coverage separate from business automation; no coverage-delta MR gate",High,source-code-coverage-assessment.md,2026-07-21,
Unite MSC,GitHub Actions,Mobile 2 Dashboard deployment validation,1,1,validated vertical slice,Verified external,Deployment slice validated,Externally validated,Workflow not in clone,"Deployment validation — not nightly business regression",Medium,17-MOBILE2-NEXUS-GITHUB-ACTIONS-PIPELINE.md,2026-07-21,
Universal Platform,Universal Enrollment,TestNG methods in nightly inventory,303,TBD,TestNG test methods,Verified count — no business % denominator,Near-complete for approved regression scope,Active in GitLab nightly,scheduled_regression_job,"Majority of current high-priority enrollment journeys automated in Modern Unite nightly",High,universal-platform-coverage/01-analysis/csv/final-workstream-summary.csv,2026-07-01,Do not state 95% without approved denominator
Universal Platform,IDP / Authentication,TestNG methods in nightly inventory,56,TBD,TestNG test methods,Verified count — no business % denominator,Near-complete for approved regression scope,Active in GitLab nightly,scheduled_regression_job,"Near-complete automation for current documented IDP regression scope",High,final-workstream-summary.csv,2026-07-01,
Universal Platform,Withdrawals,TestNG methods in nightly inventory,20,TBD,TestNG test methods,Verified count,Near-complete for withdrawal regression scope,Active in GitLab nightly,scheduled_regression_job,"Withdrawal domain automated in nightly; transfers adjacent (12 V2 methods)",High,final-workstream-summary.csv,2026-07-01,
Universal Platform,Entity / ABLE Entity,Implemented scenarios,6,TBD,business scenarios,Verified implementation estimate,Partial — 6 scenarios in repo,Not confirmed in nightly job,Unknown pipeline inclusion,"Partial coverage with expansion in progress; remaining work primarily Entity and newly migrated features",High,prime-test-automation/unite/unite-entity/,2026-07-01,Do not state 25% without denominator
Universal Platform,Angular lib-ui,Component tests,22,TBD,component tests,Verified count,Component-level only,Manual/CI on push,accountowner_build_tdd partial,"Component tests — not E2E business journey coverage",Medium,universal-platform-coverage/01-analysis/07-angular-analysis.md,2026-07-01,
