gs_domain,application,automation_type,business_capability,repository,suite_or_profile,test_count_or_scope,denominator,automated_numerator,verified_pct,execution_model,gitlab,github_actions,jenkins,ci_gate_status,idp_support,environments,evidence_path,confidence,status,gap_notes
Universal Platform,V2 Unite UI,UI Cucumber TestNG,UP workstreams (Enrollment IDP ABLE Withdrawal),unite-test-automation,Ant regression targets (stage1 daily weekly),268 UP-scoped qTest cases mapped,744 executed qTest population,268,36.0% inventory share,Verified manually executable; Jenkins/Ant legacy,No,No,Referenced (UNITE-TB-REFRESH),Soft gate / manual — schedule not verified in this pass,Both paths in suites,Stage1 Stage5 TB,universal-platform-coverage/01-analysis/10-reconciliation-ledger.md,High,Verified recurring regression (legacy Jenkins),Not requirement-level coverage; V2 total repo ~2176 scenarios / 1538 features
Universal Platform,V3 Unite UI,UI Cucumber TestNG,UP UE IDP Withdrawal (+ adjacent),prime-test-automation,stage1-ue-regression-test + stage1-unite-regression-master,379 scoped TestNG methods,436 nightly TestNG population,379,86.9% inventory share,Verified recurring regression,scheduled_regression_job,No,No,Hard gate on scheduled job failure (exit 1),IDP + non-IDP suites,Stage1 (scheduled),prime-test-automation/.gitlab-ci.yml,High,Verified recurring regression,Adjacent 57 methods (contributions CSR web reg) not in 379 subtotal
Universal Platform,V3 Unite UI,UI Cucumber,Entity platform adjacent,prime-test-automation,unite-entity module,6 scenarios,TBD business denominator,6,TBD,Module suite in repo,Partial (same nightly job may not include entity),No,No,Unknown,TBD,Stage1,prime-test-automation/unite/unite-entity/,Medium,Verified manually executable,Pipeline inclusion for entity module not confirmed
Traditional Unite,V2 UI full surface,UI Cucumber,All V2 frontoffice + backoffice,unite-test-automation,Full testsuite tree,2176 scenarios (feature scan),TBD approved business scope,TBD,TBD,Verified manually executable,No,No,Jenkins Ant targets,Manual / soft,Both,Stage1 Stage5,unite/testsuite/ (1538 features),Medium,Verified manually executable,Backoffice 1077 scenarios — not all in nightly subset
Traditional Unite,V2 Backoffice,UI Cucumber,Backoffice batch feeds Kofax,unite-test-automation,regression-backoffice-daily,1077 scenarios (backoffice subtree),TBD,1077,TBD,Verified manually executable,No,No,Jenkins,Manual,Non-IDP typical,Stage1,unite/bin/build.xml + testsuite/backoffice/,Medium,Verified manually executable,Not confirmed in GitLab nightly; separate from V3 schedule
ASTRO SFRP,ASTRO UI,UI Cucumber,ORS CAS ILS backoffice,astro-test-automation,Ant regression + daily testbed,1236 scenarios (391 features),TBD approved scope,TBD,TBD,Verified manually executable,No,No,ASTRO-TB-REFRESH,Manual,Both,TB1 Stage1,astro/bin/build.xml,Medium,Automation exists — schedule unverified,Not part of V2/V3 GitLab nightly
Unite MSC,Mobile 2 API,API TestNG RestAssured,MSC BFF business endpoints,api-test-automation,mobile-ms-master-regression,24 implemented L3+ endpoints,25 documented business endpoints,24,96.0% implemented automation,Verified in code @ cee0de9; 88% stale execution @ 7ccaf46,No scheduled mobile job,GHA Dashboard slice validated external,No,No gate yet,okdirect + nmdirect,QC4 Stage1,mobile2-endpoint-current-state.csv @ cee0de9,High,Implemented — execution refresh pending,mobilemembers excluded from numerator; destructive ops smoke/module only; QA-1405 nightly
Unite MSC,Mobile 1 API,API TestNG RestAssured,MSC member session profile owner beneficiary bank,api-test-automation,mobile1-* profiles,6 implemented endpoint identities,27 documented business endpoints,6,22.2% implemented; 3.7% execution-verified,6 in code @ cee0de9; 1 execution-verified session,No,No,No,No,okdirect + nmdirect,QC4 Stage1,mobile1-endpoint-current-state.csv @ cee0de9,High,In progress — sprint 26.11,21 endpoints remain; 5 new endpoints need execution evidence
Unite MSC,Mobile enrollment API,API TestNG,bootstrap smoke regression,api-test-automation,mobile-ms-bootstrap smoke regression,1 bootstrap class + suites,TBD enrollment scope,TBD,TBD,Verified manually executable,No,No,No,No,TBD,QC4 Stage1,mobile/enrollment/,Medium,Verified manually executable,Small footprint; not nightly scheduled
Universal Platform,JSON API metadata,API TestNG,metadata web services,api-test-automation,stage1-api-metadata-pipeline,TestNG suite,~269 methods in universal modules (excluded from UP headline),11 UP-scoped ops per UP assessment,11,TBD operation-level,Verified recurring regression,scheduled_metadataweb_stage1,No,No,Hard gate on job failure,TBD,Stage1,api-test-automation/.gitlab-ci.yml,High,Verified recurring regression,Broader universal modules exist; only metadataweb on schedule
