metric_id,gs_domain,metric_type,label,numerator,denominator,formula,unit,counting_unit,as_of_date,commit_or_build,evidence_path,verification_status,confidence,leadership_safe,notes
M-V3-UI,Business automation,Inventory share,V3 scoped TestNG nightly share,379,436,379/436,86.9%,TestNG methods,2026-07-01,SME sign-off,universal-platform-coverage/01-analysis/10-reconciliation-ledger.md,Verified,High,Yes,Not requirement-level coverage
M-V2-UI,Business automation,Inventory share,V2 UP-scoped qTest share,268,744,268/744,36.0%,executed qTest cases,2026-06-29,qTest PRIME export,universal-platform-coverage/01-analysis/10-reconciliation-ledger.md,Verified,High,Yes,Stale export; refresh recommended
M-M2-API-V,Business automation,Endpoint automation,Mobile 2 verified endpoint automation,22,25,22/25,88.0%,business endpoints,2026-07-14,7ccaf46,api-test-automation/mobile/project-documents/local-mobile-api-audit/17-mobile2-api-automation-signoff.md,Verified,High,Yes,Leadership baseline; mobilemembers excluded from automation target
M-M2-API-P,Business automation,Endpoint automation,Mobile 2 code-implemented (pending sign-off),24,25,24/25,96.0%,business endpoints,2026-07-20,cee0de9,api-test-automation/mobile/mobile2 + 16-mobile2-coverage-matrix.md,Pending verification,Medium,Conditional,YTD + GET mobilebanks/{id} in code; QC4/Stage1 rerun + matrix refresh required
M-M1-API-V,Business automation,Endpoint automation,Mobile 1 verified endpoint automation,1,27,1/27,3.7%,business endpoints,2026-07-09,main baseline,api-test-automation/.../03-document-postman-coverage-matrix.md,Verified,High,Yes,POST mobilemembersession only
M-M1-API-P,Business automation,Endpoint automation,Mobile 1 implemented pending evidence,6,27,6/27,22.2%,business endpoints,2026-07-20,cee0de9,mobile/mobile1/src/test/java,Pending verification,Medium,No,Five endpoints implemented; not sign-off ready
M-UP-API,Business automation,Operation catalog,UP API operations automated,11,TBD subset,11 ops,11,HTTP operations,2026-07-01,UP ledger,universal-platform-coverage/01-analysis/csv/api-operation-mapping.csv,Verified subset,High,Partial,Not full GS API surface
M-M2-CI-D,CI integration,Scheduled pipeline,Mobile 2 GitLab nightly integration,0,1,0/1,0.0%,scheduled jobs,2026-07-20,cee0de9,api-test-automation/.gitlab-ci.yml,Verified gap,High,Yes,QA-1405 pending
M-V3-CI-E,Gate coverage,Scheduled regression,V3 UI scheduled job hard-fail,1,1,1/1,100.0%,scheduled job,2026-07-20,93f8628,prime-test-automation/.gitlab-ci.yml,Verified,High,Yes,Hard-fail on run; not MR merge gate
M-GHA-M2,CI integration,Deployment validation,GitHub Actions Dashboard vertical slice,1,1,1/1,100.0%,validated slice,2026-07,Chaitanya validation,17-MOBILE2-NEXUS-GITHUB-ACTIONS-PIPELINE.md,Verified external,Medium,Yes,Workflow repo not in audit clone; externally validated
